game,move,white,black,san,uci,depth,score_cp,nodes,time_ms,link,cpl,is_white
0,46,AlexanderKhromov,ArturBK,a4,a5a4,18,-126,1032154,1194,https://lichess.org/xPjwCh98,65,False
0,47,AlexanderKhromov,ArturBK,a3,a2a3,18,-180,1388545,1663,https://lichess.org/xPjwCh98,54,True
0,48,AlexanderKhromov,ArturBK,Qb7,e7b7,18,-156,1513926,1818,https://lichess.org/xPjwCh98,24,False
0,49,AlexanderKhromov,ArturBK,h4,h2h4,18,-241,1054861,1250,https://lichess.org/xPjwCh98,85,True
0,50,AlexanderKhromov,ArturBK,Qb3+,b7b3,18,-225,455005,517,https://lichess.org/xPjwCh98,16,False
0,51,AlexanderKhromov,ArturBK,Kb1,c2b1,18,-214,883480,1026,https://lichess.org/xPjwCh98,0,True
0,52,AlexanderKhromov,ArturBK,Rab8,a8b8,18,-235,1281237,1518,https://lichess.org/xPjwCh98,0,False
0,53,AlexanderKhromov,ArturBK,h5,h4h5,18,-348,1541821,1708,https://lichess.org/xPjwCh98,113,True
0,54,AlexanderKhromov,ArturBK,Qxa3,b3a3,18,-420,2719774,2734,https://lichess.org/xPjwCh98,0,False
0,55,AlexanderKhromov,ArturBK,Bh4,e1h4,18,-631,1439779,1365,https://lichess.org/xPjwCh98,211,True
0,56,AlexanderKhromov,ArturBK,Qb3,a3b3,18,-351,1660217,1610,https://lichess.org/xPjwCh98,280,False
0,57,AlexanderKhromov,ArturBK,h6+,h5h6,18,-637,846632,763,https://lichess.org/xPjwCh98,286,True
0,58,AlexanderKhromov,ArturBK,Kg8,g7g8,18,-447,916142,861,https://lichess.org/xPjwCh98,190,False
0,59,AlexanderKhromov,ArturBK,f5,f4f5,18,-958,6211579,3854,https://lichess.org/xPjwCh98,511,True
0,60,AlexanderKhromov,ArturBK,a3,a4a3,18,-1050,11066819,6961,https://lichess.org/xPjwCh98,0,False
0,61,AlexanderKhromov,ArturBK,Rc2,c1c2,18,-1187,5087016,3050,https://lichess.org/xPjwCh98,0,True
0,62,AlexanderKhromov,ArturBK,axb2,a3b2,18,-921,5438627,3503,https://lichess.org/xPjwCh98,79,False
0,63,AlexanderKhromov,ArturBK,Rxb2,c2b2,18,-9991,76485,36,https://lichess.org/xPjwCh98,79,True
0,64,AlexanderKhromov,ArturBK,Nxc3+,e4c3,18,-9992,4611,6,https://lichess.org/xPjwCh98,0,False
0,65,AlexanderKhromov,ArturBK,Kc1,b1c1,18,-9993,13461,9,https://lichess.org/xPjwCh98,0,True
0,66,AlexanderKhromov,ArturBK,Nxe2+,c3e2,18,-9994,3840,6,https://lichess.org/xPjwCh98,0,False
0,67,AlexanderKhromov,ArturBK,Rxe2,b2e2,18,-9996,15095,10,https://lichess.org/xPjwCh98,0,True
0,68,AlexanderKhromov,ArturBK,Rbc8+,b8c8,18,-9997,1470,3,https://lichess.org/xPjwCh98,0,False
0,69,AlexanderKhromov,ArturBK,Kd2,c1d2,18,-9998,1129,2,https://lichess.org/xPjwCh98,0,True
0,70,AlexanderKhromov,ArturBK,Qc2+,b3c2,18,-1677,8551303,3125,https://lichess.org/xPjwCh98,0,False
0,71,AlexanderKhromov,ArturBK,Ke3,d2e3,18,-1853,273412,103,https://lichess.org/xPjwCh98,0,True
0,72,AlexanderKhromov,ArturBK,Rc3+,c8c3,18,-7712,987940,346,https://lichess.org/xPjwCh98,0,False
0,73,AlexanderKhromov,ArturBK,Kf2,e3f2,18,-7219,150337,53,https://lichess.org/xPjwCh98,0,True
0,74,AlexanderKhromov,ArturBK,Qxf5+,c2f5,18,-9987,149440,69,https://lichess.org/xPjwCh98,0,False
